id,Idol1,Idol2,Idol3,Idol4,Idol5,TweetId
1,望月聖,西園寺琴歌,大石泉,佐久間まゆ,乙倉悠貴,901715814943834112
2,依田芳乃,乙倉悠貴,島村卯月,北条加蓮,橘ありす,901236183060987904
3,前川みく,荒木比奈,鷺沢文香,塩見周子,神崎蘭子,901236171031822336
4,五十嵐響子,前川みく,三船美優,島村卯月,北条加蓮,901236152786501632
5,神崎蘭子,双葉杏,鷺沢文香,赤城みりあ,高垣楓,901236144838369282
6,渋谷凛,前川みく,佐久間まゆ,鷺沢文香,乙倉悠貴,901236099414073344
7,赤城みりあ,城ヶ崎莉嘉,藤本里奈,早坂美玲,神谷奈緒,901236065092091904
8,高森藍子,白菊ほたる,鷺沢文香,小日向美穂,緒方智絵里,901236050768445440
9,木村夏樹,橘ありす,多田李衣菜,十時愛梨,ナターリア,901236023694311424
10,市原仁奈,輿水幸子,棟方愛海,横山千佳,櫻井桃華,901235991179960320
11,鷺沢文香,橘ありす,速水奏,白菊ほたる,三船美優,901235956455309312
12,緒方智絵里,五十嵐響子,橘ありす,前川みく,鷺沢文香,901235937803247617
13,三船美優,佐久間まゆ,塩見周子,向井拓海,鷹富士茄子,901235931046232064
14,本田未央,高森藍子,日野茜,椎名法子,木村夏樹,901235924587094017
15,島村卯月,北条加蓮,依田芳乃,大槻唯,小日向美穂,901235920577241088
16,北条加蓮,五十嵐響子,神谷奈緒,島村卯月,高森藍子,901236190161940480
17,神崎蘭子,鷺沢文香,三船美優,大槻唯,小松伊吹,901235919985852416
18,双葉杏,市原仁奈,星輝子,白坂小梅,輿水幸子,901235887836602368
19,五十嵐響子,日野茜,島村卯月,城ヶ崎美嘉,佐久間まゆ,901235864482725890
20,森久保乃々,二宮飛鳥,龍崎薫,早坂美玲,星輝子,901235808983580672
21,星輝子,白坂小梅,南条光,荒木比奈,双葉杏,901235787932368898
22,神谷奈緒,諸星きらり,渋谷凛,一ノ瀬志希,双葉杏,901235784316985344
23,二宮飛鳥,乙倉悠貴,塩見周子,緒方智絵里,一ノ瀬志希,901235783075479552
24,赤城みりあ,城ヶ崎莉嘉,櫻井桃華,龍崎薫,乙倉悠貴,901235761239871488
25,速水奏,多田李衣菜,乙倉悠貴,小早川紗枝,宮本フレデリカ,901235745402241024
26,島村卯月,水本ゆかり,五十嵐響子,相葉夕美,三船美優,901235725030522880
27,安部菜々,佐藤心,双葉杏,一ノ瀬志希,中野有香,901235701131264000
28,一ノ瀬志希,宮本フレデリカ,塩見周子,乙倉悠貴,速水奏,901235687256539137
29,前川みく,一ノ瀬志希,島村卯月,椎名法子,神谷奈緒,901235686165987328
30,依田芳乃,高峯のあ,関裕美,遊佐こずえ,水本ゆかり,901235679618777088
31,三船美優,西川保奈美,佐久間まゆ,綾瀬穂乃香,安部菜々,901235620202160129
32,堀裕子,新田美波,アナスタシア,浜川愛結奈,脇山珠美,901235907843375104
33,神谷奈緒,水本ゆかり,緒方智絵里,中野有香,佐久間まゆ,901236222093172737
34,高森藍子,乙倉悠貴,櫻井桃華,財前時子,姫川友紀,901236228799971328
35,島村卯月,渋谷凛,鷺沢文香,白坂小梅,喜多見柚,901236228992811008
36,三村かな子,宮本フレデリカ,丹羽仁美,椎名法子,大原みちる,901236603007279104
37,輿水幸子,安部菜々,五十嵐響子,椎名法子,大沼くるみ,901236594211921920
38,渋谷凛,高垣楓,塩見周子,相葉夕美,三船美優,901236578235760640
39,宮本フレデリカ,遊佐こずえ,浅利七海,財前時子,八神マキノ,901236560393195522
40,櫻井桃華,佐々木千枝,赤城みりあ,依田芳乃,龍崎薫,901236517712019456
41,輿水幸子,佐久間まゆ,姫川友紀,小早川紗枝,速水奏,901236509902110720
42,川島瑞樹,高垣楓,速水奏,堀裕子,塩見周子,901236504181194752
43,市原仁奈,城ヶ崎美嘉,島村卯月,宮本フレデリカ,城ヶ崎莉嘉,901236503665295360
44,沢田麻理菜,諸星きらり,木村夏樹,松永涼,向井拓海,901236502075588608
45,本田未央,村上巴,神谷奈緒,速水奏,三村かな子,901236500255264769
46,鷺沢文香,渋谷凛,新田美波,三船美優,一ノ瀬志希,901236495939391488
47,一ノ瀬志希,佐久間まゆ,鷺沢文香,神崎蘭子,前川みく,901236465941659648
48,白坂小梅,小関麗奈,大和亜季,星輝子,新田美波,901236446454927360
49,神谷奈緒,城ヶ崎美嘉,一ノ瀬志希,北条加蓮,城ヶ崎莉嘉,901236428767612928
50,輿水幸子,乙倉悠貴,桐生つかさ,佐藤心,藤本里奈,901236416788680704
51,櫻井桃華,佐久間まゆ,城ヶ崎美嘉,橘ありす,宮本フレデリカ,901236412954984448
52,高森藍子,相葉夕美,日野茜,佐久間まゆ,木村夏樹,901236402939088896
53,関裕美,白菊ほたる,松尾千鶴,大和亜季,兵藤レナ,901236234160267264
54,前川みく,道明寺歌鈴,大槻唯,櫻井桃華,一ノ瀬志希,901236237758898177
55,二宮飛鳥,依田芳乃,森久保乃々,中野有香,緒方智絵里,901236241235976192
56,関裕美,岡崎泰葉,白菊ほたる,高森藍子,中野有香,901236248857071616
57,諸星きらり,佐藤心,日野茜,一ノ瀬志希,安部菜々,901236249129664514
58,アナスタシア,白坂小梅,二宮飛鳥,高垣楓,星輝子,901236257912627200
59,森久保乃々,双葉杏,神崎蘭子,輿水幸子,一ノ瀬志希,901235598186250241
60,多田李衣菜,緒方智絵里,小日向美穂,渋谷凛,神谷奈緒,901236297934688256
61,橘ありす,櫻井桃華,市原仁奈,大石泉,鷹富士茄子,901236308877623296
